Row,intercept,V,Vsquared,Bodylength
heel contact,1,0,0,0
max. stance,17.1030510967019,0,0,0
min. stance,48.5421714703001,-0.998054553796087,0,0
max. dy/dx swing,68.947463544566,-6.09610484201464,0.610869922842218,5.96712785564749
max. swing,85.8157733649391,-4.48022412485843,0.518828720666241,0
min. dy/dx swing,92.4891491245466,0,0,0
heel contact,31.5945587147394,-4.31133518664817,0.494138323048562,-13.0496328031808
max. stance,5.99480053799395,3.02815036629104,0,0
min. stance,-10.0373293324316,0,0,7.59432693635493
max. dy/dx swing,29.6178225926745,3.80279121571835,-0.486270388126734,0
max. swing,38.1104252240651,9.74368744042719,-1.10481400229116,0
min. dy/dx swing,24.630635702074,-0.967374698381683,0,0
heel contact,-3.58086859322526,0,0,1.97723252599292
max. stance,0,0,0,0
min. stance,0,0,0,0
max. dy/dx swing,3.27632585998105,0,0,0
max. swing,0,0,0,0
min. dy/dx swing,-0.445590952093214,0,-0.0318891292444992,-1.69607574421838
heel contact,0.301196329776449,0.073230578222444,0,0
max. stance,-0.0944566916330546,0,-0.00496253780961897,0
min. stance,0.0418350364962949,0,0.00435602070473716,0
max. dy/dx swing,0,0,0,0
max. swing,-0.783686381656054,0.224573207886829,-0.0263202631395512,0
min. dy/dx swing,0,0,0,0
